湖北电信,#genre#
湖北卫视,http://59.173.243.210:9901/tsfile/live/1018_1.m3u8
湖北经视,http://59.173.243.210:9901/tsfile/live/1019_1.m3u8
湖北公共,http://59.173.243.210:9901/tsfile/live/1034_1.m3u8
湖北综合,http://59.173.243.210:9901/tsfile/live/1020_1.m3u8
湖北影视,http://59.173.243.210:9901/tsfile/live/1000_1.m3u8
湖北陇上,http://59.173.243.210:9901/tsfile/live/1031_1.m3u8
武汉1 新闻综合,http://59.173.243.210:9901/tsfile/live/1003_1.m3u8
武汉2 电视剧,http://59.173.243.210:9901/tsfile/live/1038_1.m3u8
武汉3 科技生活,http://59.173.243.210:9901/tsfile/live/1002_1.m3u8
武汉3 科技生活,http://stream.appwuhan.com/3tzb/sd/live.m3u8
武汉4 经济,http://stream.appwuhan.com/4tzb/sd/live.m3u8
武汉5 文体,http://59.173.243.210:9901/tsfile/live/0119_1.m3u8
武汉5 文体,http://stream.appwuhan.com/5tzb/sd/live.m3u8
武汉6 外语,http://59.173.243.210:9901/tsfile/live/1012_1.m3u8
武汉6 外语,http://stream.appwuhan.com/6tzb/sd/live.m3u8
武汉教育,http://59.173.243.210:9901/tsfile/live/1001_1.m3u8
武汉教育,http://stream.appwuhan.com/jyzb/sd/live.m3u8

央视,#genre#
CCTV1 综合,http://59.173.243.210:9901/tsfile/live/0001_1.m3u8
CCTV2 财经,http://59.173.243.210:9901/tsfile/live/0002_1.m3u8
CCTV3 综艺,http://59.173.243.210:9901/tsfile/live/0003_1.m3u8
CCTV4 国际,http://59.173.243.210:9901/tsfile/live/1004_1.m3u8
CCTV5 体育,http://59.173.243.210:9901/tsfile/live/1005_1.m3u8
CCTV6 电影,http://59.173.243.210:9901/tsfile/live/1006_1.m3u8
CCTV7 国防,http://59.173.243.210:9901/tsfile/live/1007_1.m3u8
CCTV8 电视剧,http://59.173.243.210:9901/tsfile/live/1008_1.m3u8
CCTV9 纪录,http://59.173.243.210:9901/tsfile/live/1009_1.m3u8
CCTV10 科教,http://59.173.243.210:9901/tsfile/live/1010_1.m3u8
CCTV11 戏曲,http://59.173.243.210:9901/tsfile/live/1011_1.m3u8
CCTV12 社会,http://59.173.243.210:9901/tsfile/live/0012_1.m3u8
CCTV13 新闻,http://59.173.243.210:9901/tsfile/live/1013_1.m3u8
CCTV14 少儿,http://59.173.243.210:9901/tsfile/live/0014_1.m3u8
CCTV15 音乐,http://59.173.243.210:9901/tsfile/live/1015_1.m3u8
CCTV16 奥林,http://59.173.243.210:9901/tsfile/live/1036_1.m3u8
CCTV17 农业,http://59.173.243.210:9901/tsfile/live/1016_1.m3u8
CCTV5+ 体育赛事,http://59.173.243.210:9901/tsfile/live/1021_1.m3u8
CCTV1 综合,http://221.2.36.34:8888/newlive/live/hls/2/live.m3u8#http://221.213.43.82:8888/newlive/live/hls/2/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8#http://60.255.120.30:89/live2/live2.m3u8#http://hms304nc1972679586.live.aikan.miguvideo.com/wh7f454c46tw3831204341_1349411946/wd_r2/cctv/cctv1hd/2500/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=182.149.232.3&timestamp=20230115080246&ContentId=265183188&timezone=UTC&mtv_session=01b97ad3f1d61532d8f0d40578ee3f47&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ac6f75650a73ab06efc36233598f26b8
CCTV1 综合,https://cntv.sbs/tv?auth=231013&id=cctv1
CCTV2 财经,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8#http://221.2.36.34:8888/newlive/live/hls/3/live.m3u8#http://221.213.43.82:8888/newlive/live/hls/3/live.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?#http://hms104nc1972679566.live.aikan.miguvideo.com/wh7f454c46tw3468827325_440542616/wd_r2/cctv/cctv2hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208125733&ContentId=265667329&timezone=UTC&mtv_session=f739dcaed0e05c0e9e14fa47d0810c20&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=c4d54a337744e33e655349fe312a5eed#http://hms144nc1972679571.live.aikan.miguvideo.com/wh7f454c46tw1367597789_986251175/wd_r2/cctv/cctv2hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=124.222.137.170&timestamp=20220829051304&ContentId=265667329&timezone=UTC&mtv_session=3a72ceba3ac665546cb73fabdc40bd8b&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=d9afe5e7950888c1a04ca5a47e51f660
CCTV2 财经,https://cntv.sbs/tv?auth=231013&id=cctv2
CCTV3 综艺,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8#http://221.213.43.82:8888/newlive/live/hls/4/live.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8#http://hms124nc1972679569.live.aikan.miguvideo.com/wh7f454c46tw2527029411_41260484/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=223.150.248.38&timestamp=20220902072210&ContentId=265667206&timezone=UTC&mtv_session=36ab5975fbd743a08231254a1f9434a2&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=12cc47515a3c5f7a099951f84a9769e1#http://hms44nc1972679560.live.aikan.miguvideo.com/wh7f454c46tw3692367231_1716696590/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208130116&ContentId=265667206&timezone=UTC&mtv_session=09b9584da7231a3b6c6b2c20aa3572d6&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=f9cf165e747cb07e1e8dd89226e53387
CCTV3 综艺,https://cntv.sbs/tv?auth=231013&id=cctv3
CCTV4 美洲,http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221226269/1/index.m3u8?fmt=ts2hls#http://39.136.18.69/cdnrrs.gz.chinamobile.com/TVOD/88888888/224/3221226300/1/index.m3u8?fmt=ts2hls#http://hms344nc1972679590.live.aikan.miguvideo.com/wh7f454c46tw2087320283_-876815993/migu/kailu/20200324/cctv4meihd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=125.65.42.193&timestamp=20230426161100&ContentId=265667335&timezone=UTC&mtv_session=9de016f966bff8e72afcd5fccab460fe&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=79b8d51a3105d0beb31ae1f6db95827e
CCTV4 欧洲,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240363_1/encoder/0/playlist.m3u8?CONTENTID=00000110240363_1&AUTHINFO=FABqh274XDn8fkurD5614vXukv%2Bllu6MCULXDoxJ6upZMyB3BTGL8Fz1cBrzuGpUOEVg8724ObgLgS2tj%2FSq8xWZ1p4rvSaCId2u7KLjn%2F46Kf00Xa0UUCbNAV9EWdHyJMhivxx1S8fcvB8Encq%2Br2%2FNnfOdizLLGdg97cAjQVBrJ5ycvSCIUdxWiGJJfFI3hgreSH2tPUplkub%2BeFttIQ%3D%3D&USERTOKEN=OcdSKDHIYJi7z1i4zpgoeOB0O2BhR0KR#http://106.39.160.148/live.aishang.ctlcdn.com/00000110240363_1/playlist.m3u8?CONTENTID=00000110240363_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR#http://hms304nc1972679586.live.aikan.miguvideo.com/wh7f454c46tw1798072077_1881739463/migu/kailu/20200324/cctv4ouhd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=125.65.42.193&timestamp=20230426160611&ContentId=265667313&timezone=UTC&mtv_session=a1f0d3ea23dedcfb57026533e0f9fba7&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=205e99763af1a2e155df364630a7b05a
CCTV4 中文国际,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8#http://111.20.40.164:80/PLTV/88888893/224/3221226191/index.m3u8?icpid=88888893&from=1&popid=1&hms_devid=844#http://221.2.36.34:8888/newlive/live/hls/5/live.m3u8#http://221.213.43.82:8888/newlive/live/hls/5/live.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?#http://hms284nc1972679584.live.aikan.miguvideo.com/wh7f454c46tw3805527088_-1274597418/wd_r2/cctv/cctv4hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208130309&ContentId=265667639&timezone=UTC&mtv_session=2dd2ab7bfb6b74ffa7cc9e8d7b6e5ed2&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=d34ff8f1c5a38b07fa8b2d3d15e755a2
CCTV4 中文国际,https://cntv.sbs/tv?auth=231013&id=cctv4
CCTV4K 超高清,http://cntv.dfkj.live/bestv.php?id=cctv4k/15000000
CCTV4K 超高清,https://cntv.sbs/tv?auth=231013&id=cctv4k
CCTV5 体育,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8#http://221.213.43.82:8888/newlive/live/hls/6/live.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8#http://hms304nc1972679586.live.aikan.miguvideo.com/wh7f454c46tw3939139141_-877857276/wd_r2/cctv/cctv5hdnew/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208130523&ContentId=265667565&timezone=UTC&mtv_session=e95834282573288096f63eab8a028447&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=12a070f46793605fdbff0e1132d2d0d8
CCTV5 体育,https://cntv.sbs/tv?auth=231013&id=cctv5
